Weight,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.5,1285,1469,1219,1469,1556,1194,974,2200,2725,1646,2223,1110,1110,1110
1,1509,1731,1578,1730,1885,1421,1123,2805,3412,2138,2562,1269,1277,1308
1.5,1739,1992,1843,1990,2201,1647,1276,3408,4098,2379,2902,1285,1363,1543
2,1970,2253,2109,2250,2517,1874,1429,4012,4785,2621,3242,1436,1527,1777
2.5,2201,2511,2374,2511,2832,2101,1582,4614,5472,2863,3582,1609,1690,1796
3,2426,2734,2686,2741,3183,2283,1790,5247,6159,3111,3728,1788,1872,1945
3.5,2650,2958,2998,2972,3533,2465,1998,5880,6846,3360,3873,1967,2054,2094
4,2875,3182,3310,3203,3884,2647,2205,6512,7534,3608,4019,2145,2236,2243
4.5,3100,3406,3621,3433,4234,2829,2413,7145,8221,3856,4165,2324,2418,2392
5,3324,3629,3933,3664,4585,3011,2621,7778,8908,4105,4310,2503,2600,2541
5.5,3490,3815,4199,3850,4916,3194,2710,8351,9389,5629,5681,2627,2711,2680
6,3655,4002,4464,4036,5248,3377,2799,8923,9870,7154,7051,2751,2821,2819
6.5,3820,4188,4729,4222,5580,3560,2887,9496,10351,8678,8421,2876,2931,2958
7,3986,4374,4995,4408,5911,3743,2976,10069,10831,10203,9792,3000,3042,3097
7.5,4151,4560,5260,4595,6243,3926,3065,10642,11312,11727,11162,3124,3152,3236
8,4316,4746,5525,4781,6575,4109,3154,11215,11793,13252,12532,3248,3262,3376
8.5,4527,4932,5791,4967,6906,4292,3243,11787,12273,14776,13903,3372,3372,3515
9,4833,5118,6056,5153,7238,4475,3332,12360,12754,16301,15273,3497,3483,3654
9.5,5407,5304,6321,5339,7570,4658,3421,12933,13235,17825,16644,3621,3593,3793
10,5326,5491,6586,5525,7901,4841,3509,13506,13715,19350,18014,3745,3703,3932
10.5,5507,5598,6736,5646,8099,5082,3667,13641,14125,19445,18139,3941,3901,4090
11,5690,5706,6885,5767,8297,5323,3824,13775,14536,19541,18264,4137,4099,4247
11.5,5935,5872,7035,5888,8495,5564,3982,13910,14946,19636,18390,4333,4297,4404
12,6133,6041,7184,6008,8693,5805,4139,14045,15356,19731,18515,4529,4495,4562
12.5,6329,6151,7334,6129,8891,6046,4296,14180,15766,19826,18640,4725,4694,4719
13,6543,6322,7483,6250,9089,6287,4454,14315,16176,19922,18765,4920,4892,4877
13.5,6743,6496,7633,6371,9287,6527,4611,14450,16586,20017,18891,5116,5090,5034
14,6939,6608,7782,6491,9485,6768,4768,14585,16996,20112,19016,5312,5288,5191
14.5,7131,6785,7932,6612,9683,7009,4926,14720,17406,20208,19141,5508,5486,5349
15,8756,6898,8081,6733,9881,7250,5083,14855,17816,20303,19267,5704,5684,5506
15.5,7499,7078,8231,6854,10079,7491,5241,14989,18226,20398,19392,5900,5882,5663
16,7683,7193,8380,6975,10277,7732,5398,15124,18636,20493,19517,6096,6080,5821
16.5,7865,7376,8530,7095,10475,7973,5555,15259,19046,20589,19642,6292,6278,5978
17,8124,7491,8679,7216,10673,8214,5713,15394,19456,20684,19768,6488,6476,6136
17.5,8304,7607,8829,7337,10871,8455,5870,15529,19866,20779,19893,6684,6674,6293
18,8481,7794,8978,7458,11069,8695,6027,15664,20276,20875,20018,6880,6872,6450
18.5,8676,7911,9128,7578,11267,8936,6185,15799,20686,20970,20143,7076,7070,6608
19,8866,8102,9277,7699,11465,9177,6342,15934,21096,21065,20269,7272,7268,6765
19.5,9116,8220,9427,7820,11663,9418,6500,16069,21506,21160,20394,7467,7466,6922
20,9359,8490,9576,7941,11861,9659,6657,16204,21916,21256,20519,7663,7664,7080
21,9450,8794,10043,8652,12539,9860,6890,17819,23350,22899,22183,7953,8149,7406
22,9658,9102,10509,9362,13217,10061,7124,19435,24783,24542,23847,8244,8634,7733
23,9903,9829,10975,10073,13896,10263,7357,21050,26217,26186,25510,8534,9119,8059
24,10117,10555,11441,10784,14574,10464,7591,22666,27650,27829,27174,8824,9604,8386
25,10235,11282,11908,11495,15252,10665,7824,24281,29084,29473,28838,9114,10089,8713
26,10694,12009,12374,12206,15930,10867,8057,25897,30517,31116,30501,9404,10574,9039
27,10683,12735,12840,12917,16608,11068,8291,27512,31951,32759,32165,9694,11059,9366
28,11286,13462,13307,13627,17286,11269,8524,29128,33385,34403,33829,9984,11544,9692
29,11889,14189,13773,14338,17965,11470,8758,30743,34818,36046,35493,10275,12029,10019
30,12492,14915,14239,15049,18643,11672,8991,32359,36252,37689,37156,10565,12514,10345
31 to 50,326,336,366,294,448,378,305,1025,875,624,624,353,392,342
51 to 70,304,333,333,297,387,378,282,469,488,624,624,353,385,342
71 to 100,285,303,303,294,369,371,238,424,469,624,624,332,385,342
101 to 300,259,259,271,294,347,371,238,377,453,624,624,332,385,342
301 to 500,249,248,248,294,316,371,298,360,442,624,624,379,385,342
