Weight,1,2,3,4,5,6,7,8,9
0.5,720,1044,1044,653,1015,994,1091,1156,1044
1,832,1084,1084,779,1089,1047,1190,1247,1084
1.5,965,1290,1290,934,1232,1235,1337,1402,1290
2,1099,1496,1495,1122,1375,1423,1484,1558,1495
2.5,1233,1701,1702,1245,1519,1611,1631,1932,1701
3,1478,1953,1953,1433,1812,1856,1952,2319,1953
3.5,1708,2080,2080,1682,1974,2010,2270,2705,2080
4,1868,2208,2208,1893,2117,2279,2594,3070,2208
4.5,2012,2335,2335,1993,2260,2564,2919,3452,2335
5,2230,2556,2556,2055,2500,2848,3242,3837,2556
5.5,2451,2825,2825,2211,2744,3131,3600,4260,2825
6,2617,3082,3082,2316,2872,3369,3928,4648,3083
6.5,2739,3339,3339,2422,2998,3555,4256,5034,3339
7,2860,3595,3595,2528,3125,3741,4569,5422,3596
7.5,2980,3821,3821,2634,3251,3928,4788,5768,3822
8,3101,3969,3969,2740,3378,4114,5008,6008,3969
8.5,3222,4116,4116,2846,3506,4300,5229,6248,4116
9,3344,4264,4263,2952,3634,4487,5449,6489,4264
9.5,3465,4411,4411,3035,3828,4674,5668,6728,4411
10,3586,4559,4559,3129,4031,4859,5889,6968,4559
10.5,3693,4713,4713,3197,4231,5038,6150,7198,4712
11,3804,4865,4864,3284,4432,5216,6397,7428,4865
11.5,3914,5017,5017,3402,4634,5395,6641,7660,5017
12,4024,5169,5170,3484,4835,5573,6886,7891,5170
12.5,4134,5321,5321,3600,5031,5751,7130,8121,5321
13,4245,5474,5473,3676,5195,5930,7374,8353,5474
13.5,4355,5626,5627,3806,5357,6107,7621,8583,5626
14,4464,5778,5779,3868,5520,6286,7865,8812,5779
14.5,4574,5931,5930,4011,5683,6464,8109,9044,5931
15,4685,6083,6083,4064,5847,6643,8354,9276,6083
15.5,4796,6236,6235,4202,6011,6820,8600,9506,6235
16,4905,6387,6388,4243,6172,6999,8845,9735,6388
16.5,5016,6540,6540,4384,6336,7177,9089,9968,6541
17,5125,6693,6691,4415,6499,7355,9334,10198,6692
17.5,5236,6845,6845,4562,6663,7533,9577,10471,6845
18,5345,6997,6996,4591,6826,7711,9823,10769,6997
18.5,5456,7149,7149,4748,6989,7889,10069,11069,7149
19,5566,7302,7302,4763,7151,8068,10314,11322,7300
19.5,5676,7453,7453,4930,7314,8248,10559,11622,7454
20,5787,7606,7606,4937,7476,8425,10803,11918,7607
21 - 44 ,275,379,379,253,379,398,526,596,654
45 - 70 ,254,379,379,242,370,376,503,595,654
71 - 99 ,233,367,367,225,379,274,492,598,367
100 - 299 ,231,363,363,227,378,275,483,598,363
300 - 499,231,359,359,227,376,275,479,598,359
500 - 999 ,219,355,355,224,370,275,475,598,355
1000 - 10000,219,352,352,224,367,275,474,598,352
